control_executed,episode_steps,final_estimated_goal_xy_error_m,final_object_xyz_evaluator_only,final_true_goal_abs_x_error_m,final_true_goal_abs_y_error_m,final_true_goal_xy_error_m,full_success,goal_detected,goal_failure_reason,goal_xy_error_m,initial_object_xyz,object_detected,object_failure_reason,object_xy_error_m,place_success,seed,true_goal_xyz_evaluator_only,object_inside_goal_region_xy
True,458,0.0057969677068155,"[0.44695507513638444, 0.030299055945200395, 0.3191623619924631]",0.0037158959704378,0.0042835196814879,0.0056706634289834,True,True,,0.0001529975119459,"[0.5347288864407298, 0.029690518254116782, 0.315]",True,,0.0007561133233277,True,52,"[0.44323917916594663, 0.02601553626371246, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=53; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,53,,False
True,386,0.0073797308697224,"[0.46002030670680316, 0.03586251202817545, 0.318936290221741]",0.0065450625246447,0.0020711099080603,0.0068649355206567,True,True,,0.0005149343356932,"[0.41673546340156853, 0.0074319883531814845, 0.315]",True,,0.0004294900496681,True,54,"[0.46656536923144787, 0.033791402120115055, 0.315]",False
True,437,0.0105739757767023,"[0.5944765614762408, 0.09182885697512057, 0.3157772615897831]",0.0032161474430585,0.0105127006212668,0.0109936562947854,True,True,,0.0010443539638483,"[0.5996756550364852, 0.14825824468653653, 0.315]",True,,0.0020856249449753,True,55,"[0.5912604140331823, 0.0813161563538537, 0.315]",False
True,547,0.0080018134628802,"[0.5978240321605672, -0.06567439436880416, 0.31459331551162906]",0.0095745367196986,0.0007323681947509,0.0096025057443117,True,True,,0.0021871361977084,"[0.567837814989062, -0.19323887420854274, 0.315]",True,,0.0001715081014436,True,56,"[0.5882494954408686, -0.06640676256355513, 0.315]",False
True,512,0.0096416123067861,"[0.6208638326683652, -0.10382006606978458, 0.314800211987113]",0.0025631564287575,0.0077672142675532,0.0081792046285909,True,True,,0.0028914698110843,"[0.5552500109466625, -0.012675212712972617, 0.315]",True,,0.0008714488327048,True,57,"[0.6183006762396076, -0.1115872803373378, 0.315]",False
True,391,0.0097725663244367,"[0.42171409099163704, 0.0942794407233137, 0.319239073413143]",0.0030518885086773,0.0094367835877282,0.0099180092735898,True,True,,0.0003008543496154,"[0.44270354016987346, 0.15193344369230838, 0.315]",True,,0.0017867966390513,True,58,"[0.4247659795003144, 0.08484265713558543, 0.315]",False
False,0,,,,,,False,False,"ArUco goal capture failed closed before PPO: seed=59; reason=insufficient_valid_frames:5/8;failures={'marker_not_detected': 10, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226843 -0.09225872  0.26814822]|goal_outside_workspace:[-0.58179591 -0.09224848  0.26839131]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226813 -0.09225667  0.2681487 ]|goal_outside_workspace:[-0.5817956  -0.09224644  0.26839178]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226783 -0.09225464  0.26814917]|goal_outside_workspace:[-0.5817953  -0.09224441  0.26839225]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226753 -0.09225263  0.26814963]|goal_outside_workspace:[-0.581795   -0.0922424   0.26839272]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226723 -0.09225064  0.2681501 ]|goal_outside_workspace:[-0.5817947  -0.09224042  0.26839318]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226694 -0.09224868  0.26815055]|goal_outside_workspace:[-0.58179441 -0.09223845  0.26839364]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226665 -0.09224673  0.26815101]|goal_outside_workspace:[-0.58179412 -0.0922365   0.26839409]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226636 -0.0922448   0.26815146]|goal_outside_workspace:[-0.58179383 -0.09223458  0.26839454]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226607 -0.09224289  0.2681519 ]|goal_outside_workspace:[-0.58179355 -0.09223267  0.26839498]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226579 -0.092241    0.26815234]|goal_outside_workspace:[-0.58179327 -0.09223078  0.26839542]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226551 -0.09223913  0.26815278]|goal_outside_workspace:[-0.58179299 -0.09222891  0.26839586]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226524 -0.09223728  0.26815321]|goal_outside_workspace:[-0.58179271 -0.09222706  0.26839629]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226496 -0.09223544  0.26815363]|goal_outside_workspace:[-0.58179244 -0.09222523  0.26839672]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226469 -0.09223363  0.26815406]|goal_outside_workspace:[-0.58179217 -0.09222341  0.26839714]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226443 -0.09223183  0.26815448]|goal_outside_workspace:[-0.5817919  -0.09222162  0.26839756]': 1}; failures={'marker_not_detected': 10, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226843 -0.09225872  0.26814822]|goal_outside_workspace:[-0.58179591 -0.09224848  0.26839131]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226813 -0.09225667  0.2681487 ]|goal_outside_workspace:[-0.5817956  -0.09224644  0.26839178]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226783 -0.09225464  0.26814917]|goal_outside_workspace:[-0.5817953  -0.09224441  0.26839225]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226753 -0.09225263  0.26814963]|goal_outside_workspace:[-0.581795   -0.0922424   0.26839272]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226723 -0.09225064  0.2681501 ]|goal_outside_workspace:[-0.5817947  -0.09224042  0.26839318]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226694 -0.09224868  0.26815055]|goal_outside_workspace:[-0.58179441 -0.09223845  0.26839364]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226665 -0.09224673  0.26815101]|goal_outside_workspace:[-0.58179412 -0.0922365   0.26839409]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226636 -0.0922448   0.26815146]|goal_outside_workspace:[-0.58179383 -0.09223458  0.26839454]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226607 -0.09224289  0.2681519 ]|goal_outside_workspace:[-0.58179355 -0.09223267  0.26839498]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226579 -0.092241    0.26815234]|goal_outside_workspace:[-0.58179327 -0.09223078  0.26839542]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226551 -0.09223913  0.26815278]|goal_outside_workspace:[-0.58179299 -0.09222891  0.26839586]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226524 -0.09223728  0.26815321]|goal_outside_workspace:[-0.58179271 -0.09222706  0.26839629]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226496 -0.09223544  0.26815363]|goal_outside_workspace:[-0.58179244 -0.09222523  0.26839672]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226469 -0.09223363  0.26815406]|goal_outside_workspace:[-0.58179217 -0.09222341  0.26839714]': 1, 'no_geometrically_valid_pnp_solution:goal_outside_workspace:[-0.58226443 -0.09223183  0.26815448]|goal_outside_workspace:[-0.5817919  -0.09222162  0.26839756]': 1}",,,False,not_attempted_after_goal_fail_closed,,False,59,,False
True,470,0.0203140449550423,"[0.4052281175645309, -0.17175212759557953, 0.32130027321734966]",0.0122236287776118,0.0141425336849578,0.0186930029562675,True,True,,0.0020549254943217,"[0.4472851438103829, -0.1891414432419982, 0.315]",True,,0.0003763827118629,True,60,"[0.39300448878691907, -0.18589466128053742, 0.315]",False
True,415,0.0069545925393585,"[0.4832984380061438, 0.20694368730426826, 0.317958867541368]",0.005333830763978,0.0021259980222202,0.0057419176421508,True,True,,0.001845771783163,"[0.46231228486329234, 0.1087742472769066, 0.315]",True,,0.0008372713018687,True,61,"[0.48863226877012184, 0.2090696853264885, 0.315]",False
